Accession,HT.ORL,CIRC.ORL,BF.ORL,BS.ORL,BS.SAV,CIRC.SAV,BF.SAV,RUST.ORL
DRA-006,240.3456698,5.869989515,3.666666667,1.833333332,1.833333333,Medium,Medium,White
DRA-009,276.409315,6.765631433,3.024705242,1.250574428,1.916666667,Medium,Medium,White
DRA-010,299.105079,6.846256854,3.666666667,1.333333332,2.027300436,Medium,Medium,White
DRA-011,256.5991773,6.403932745,3.047169254,1.447064156,1.88917899,Medium,Medium,Green
DRA-012,251.5904628,6.812235325,3.5,1.749999998,1.333333333,Medium,Low,White
DRA-013,302.460315,6.869304665,3.024705242,1.550574428,2.583333333,High,Medium,White
DRA-014,295.6225052,7.452459971,3.548107598,1.50593905,2.75,Medium,Low,White
DRA-017,237.6427783,5.845189596,2.333333333,0.916666665,1.083333333,Medium,Low,Green
DRA-019,277.4700605,7.425923633,1.666666667,1.333333332,1.770599283,Medium,Low,White
DRA-020,311.726485,6.573335153,2.847169254,1.447064156,0.896103808,Medium,Low,White
DRA-021,217.7450398,5.659736275,3,1.499999998,1.583333333,Medium,Low,White
DRA-022,257.353555,6.033442106,3,0.999999998,1.75,Medium,Medium,White
DRA-023,240.893376,6.246657971,2.825564868,1.442898694,1.25,Medium,Low,White
DRA-024,341.9907836,7.634412447,2.5,1.333333332,1.29748348,High,Low,White
DRA-025,332.1823026,7.161621872,2,1.333333332,1.396103808,High,Very low,White
DRA-028,245.2754516,6.737380389,3.166666667,1.083333332,1.89748348,Medium,Medium,White
DRA-029,327.9182455,7.815336937,3.166666667,1.999999998,2.416666667,Medium,Medium,White
DRA-030,308.063386,8.165861289,4.166666667,1.583333332,1.916666667,High,Medium,White
DRA-031,258.7815197,6.472273057,2.833333333,0.999999998,1.333333333,High,Low,Green
DRA-032,295.6716959,6.940932894,2.666666667,1.083333332,1.396103808,High,Low,White
DRA-033,235.0088451,6.441626506,3.754949564,0.806359984,1.5,Low,High,White
DRA-034,254.9437771,7.24994453,3.424705242,1.350574428,1.78917899,Medium,Low,White
DRA-035,217.5344997,6.509485896,2.5,0.416666665,1.083333333,Medium,Low,Green
DRA-038,278.8270908,6.956058047,2.666666667,1.499999998,1.416666667,Medium,Very low,Green
DRA-039,234.9023412,6.24245283,3.878821453,1.015373795,2.097186724,Medium,Low,Green
DRA-040,327.4071062,7.314242511,3,1.416666665,1.99748348,Medium,Low,White
DRA-041,283.2014806,6.901307801,3,1.583333332,1.75,High,Low,Green
DRA-043,262.0704334,6.616701915,2.666666667,1.083333332,1.083333333,Medium,Medium,Green
DRA-044,221.859155,6.293429263,2.333333333,1.083333332,1.823665076,Medium,Very low,White
DRA-045,329.5315452,7.62531343,3.833333333,1.749999998,2.092746562,Medium,Medium,White
DRA-046,217.5078796,6.439521542,4.5,1.106359984,1.996103808,High,Medium,Green
71091-2,183.2056663,5.185964712,4,1.450574428,NA,Low,NA,White
71099-R6,210.666184,5.043277743,4.166666667,1.249999998,NA,Low,NA,White
71092-19,246.1074328,6.790080477,3.744096065,1.44125401,NA,Low,NA,White
71092-36,222.0443144,5.51952086,3.742357095,1.219252405,NA,Very low,NA,Blue
71096-2,280.1098024,6.6385638,4.333333333,2.249999998,NA,Low,NA,Green
71096-R4,264.3011246,7.354064263,4.333333333,1.749999998,NA,Medium,NA,Green
ERS-002,369.8588419,8.649546375,4.5,1.166666665,1.916666667,High,High,Green
ERS-004,418.3206521,9.313601101,4.333333333,0.999999998,1.627300436,High,High,White
ERS-005,314.1087756,7.656619664,4.333333333,1.333333332,1.5,High,Very high,White
ERS-006,308.9759876,7.959983956,4.833333333,1.166666665,1.25,High,High,White
ERS-008,250.7596972,7.041150699,3.666666667,1.666666665,1.29748348,High,Medium,Blue
ERS-010,296.1785847,7.866283383,3.833333333,0.999999998,0.833333333,Medium,Medium,White
ERS-011,229.5208553,6.572815322,2.916666667,0.999999998,0.547195525,Very low,Low,Green
ERS-013,333.4965208,7.921505828,4.829802213,1.428590315,1.327300436,Medium,High,White
ERS-015,328.9698779,8.179698965,4.833333333,0.749999998,0.741613165,High,Very high,Green
ERS-016,247.1531582,7.441578474,4.166666667,0.833333332,0.89748348,High,Medium,Green
ERS-017,325.0142463,7.806784581,4,1.249999998,1.416666667,Medium,Medium,White
ERS-018,270.056909,7.073690294,4.5,0.999999998,1.89748348,Medium,Medium,White
GLY-002,273.2194972,6.190901203,2.22564304,1.18657335,1.69748348,Medium,High,Green
GLY-003,234.7521652,6.817618027,2.5,0.583333332,1,Medium,Low,White
GLY-004,199.0468053,6.349962561,2.833333333,0.666666665,1.392746562,Low,Low,Green
GLY-006,224.4473712,6.055541771,2.5,0.833333332,0.916666667,Medium,Low,Green
GLY-008,266.9234685,6.61105185,2.5,1.083333332,1.416666667,Medium,Low,White
GLY-009,291.0315433,6.852006747,3.166666667,1.083333332,0.75,Low,Low,White
GLY-010,345.0487556,8.053875586,3.833333333,1.333333332,2.583333333,High,Medium,Green
GLY-011,271.6791357,6.400768462,1.599503474,1.047163678,1.405979895,Medium,Very low,White
GLY-012,259.368874,6.452622133,0.666666667,0.999999998,1.25,Medium,Very low,White
GLY-013,223.1060911,5.937618504,2.825564868,0.942898694,1.333333333,Low,High,Green
GLY-015,195.8420245,6.128936443,4.024705242,0.750574428,1.166666667,Low,Medium,White
GLY-018,240.5463512,6.295969295,2.666666667,0.999999998,2,Medium,Very low,White
GLY-019,180.7253835,5.264126315,2.225564868,0.442898694,1.19748348,Medium,Very low,Green
GLY-021,258.6494442,7.43961448,4,1.166666665,1.75,Medium,Medium,White
GLY-022,258.2630808,6.457539937,3.666666667,1.166666665,1.29748348,High,Low,Green
GLY-024,251.3770057,6.240341871,3.118963283,0.74133711,0.727300436,Low,Low,Blue
GLY-025,265.4998535,6.321234717,3.833333333,1.166666665,1.75,Medium,Medium,White
GLY-026,275.9590433,6.532309422,1.833333333,1.166666665,0.833333333,Medium,Very low,White
GLY-027,291.6140042,7.521052059,4.666666667,0.999999998,1.083333333,Very high,Medium,Green
GLY-028,330.8871272,8.787523677,4.333333333,1.416666665,1.833333333,High,Medium,White
GLY-029,300.2552176,7.357120604,4,1.416666665,1.327300436,Medium,Low,White
GLY-030,250.7668163,6.88320833,4.666666667,1.291666665,2.110023499,Medium,Very high,Green
GLY-036,262.9996629,6.805517153,2.833333333,1.499999998,1.833333333,Medium,Medium,Green
GLY-039,211.0384918,5.899049543,2.666666667,0.708333332,1.057863835,Low,Low,White
KUH-10,256.8239775,7.080503698,1.431280661,0.613763997,1.02786021,Medium,Very low,White
KUH-13,278.1677525,6.944000962,2.847169254,0.647064156,0.5,High,Low,Green
KUH-14,285.6658015,7.809765109,2.424705242,0.950574428,0.900058748,High,Low,Green
KUH-15,251.9711695,6.827506466,2.75,0.458333332,0.416666667,Low,Low,Green
KUH-16,214.9313188,6.058729748,2.833333333,0.777777776,1.373334439,High,Low,Green
KUH-1,283.4387001,7.475192877,2.573876702,0.981396821,0.840561572,High,Low,Green
KUH-25,244.5346625,6.82104138,2,0.249999998,0.833333333,High,Very low,Green
KUH-29,330.700796,7.6328075,2.166666667,0.916666665,1.89748348,High,Very low,White
KUH-36,296.3285849,8.313515166,2.833333333,0.749999998,1.166666667,High,Very low,White
KUH-37,273.8794271,7.427692708,2.824705242,0.750574428,1.08917899,High,Low,Green
KUH-39,272.8073359,7.209538693,2.5,0.749999998,1.858328088,High,Very low,Green
KUH-4,297.8688014,7.34455497,2.333333333,1.249999998,1.527300436,Medium,Low,White
KUH-40,279.2743644,7.553862689,2.5,0.583333332,1.25,High,Low,Green
KUH-42,287.3184114,7.21962599,3,0.749999998,1.530979895,High,Low,Green
KUH-43,308.38135,7.74489628,1.399503474,0.647163678,1.19748348,High,Very low,White
KUH-44,195.720928,6.05597567,1,0.249999998,0.416666667,Medium,Very low,Green
KUH-47,230.847165,6.584279517,2.333333333,0.833333332,0.583333333,Medium,Very low,White
KUH-49,334.4418479,8.082074093,2.666666667,0.499999998,0.497186724,Medium,Medium,White
KUH-5,303.1295864,7.885599962,2.166666667,1.166666665,0.833333333,High,Very low,White
KUH-50,227.5524009,6.656807826,2.58984312,0.872048233,1.29748348,High,Very low,Green
KUH-51,236.2790941,6.479866337,2.833333333,0.999999998,1.333333333,High,Low,Green
KUH-52,268.158885,8.031771778,3.647169254,0.647064156,1.416666667,Medium,Very low,Green
KUH-53,320.7400744,8.341062443,2.495732273,0.90089547,1,Medium,Very low,White
KUH-54,250.3107254,7.276709743,2.5,0.499999998,0.497186724,Medium,Very low,White
